answer_num,mod,id
1,85,423
2,85,423
3,85,423
4,85,423
5,85,423
6,85,423
7,85,423
8,85,423
9,85,423
10,85,423
11,85,423
12,85,423
13,85,423
14,85,423
15,85,423
16,85,423
17,85,423
18,85,423
19,85,418
20,85,418
21,85,418
22,85,418
23,85,418
24,85,419
25,85,419
26,85,419
27,85,419
28,85,419
29,85,419
30,85,419
31,85,419
32,85,419
33,85,419
34,85,419
35,85,420
36,85,420
37,85,420
38,85,421
39,85,421
40,85,421
41,85,421
42,85,421
43,85,421
44,85,421
45,85,421
46,85,421
47,85,422
48,85,422
49,85,422
50,85,417
51,85,417
52,85,417
53,85,417
54,85,417
55,85,417
56,85,424
57,85,424
58,85,424
59,85,424
60,85,424
61,85,424
62,85,424
63,85,424
64,85,424
65,85,424
66,85,424
67,85,424
68,85,424
69,85,424
70,85,424
71,85,424
72,85,424
73,85,424
74,85,424
75,85,424
76,85,424
77,85,424
78,85,424
79,85,424
80,85,424
81,85,424
82,85,424
83,85,424
84,85,424
85,85,424
86,85,424
87,85,424
88,85,424
89,85,424
90,85,424
91,85,424
92,85,424
93,85,424
94,85,424
95,85,424
96,85,424
97,85,424
98,85,424
99,85,424
100,85,424
101,85,425
102,85,425
103,85,425
104,85,425
105,85,425
106,85,425
107,85,425
108,85,425
109,85,425
110,85,425
111,85,425
112,85,425
113,85,425
114,85,425
115,85,425
116,85,426
117,85,426
118,85,426
119,85,426
120,85,426
121,85,426
122,85,426
123,85,426
124,85,426
125,85,426
126,85,426
127,85,426
128,85,426
129,85,426
130,85,426
131,85,426
132,85,426
133,85,426
134,85,426
135,85,426
136,85,426
137,85,426
138,85,426
139,85,426
140,85,426
141,85,426
142,85,426
143,85,426
144,85,426
145,85,426
146,85,426
147,85,426
148,85,426
149,85,426
150,85,426
151,85,427
152,85,427
153,85,427
154,85,427
155,85,427
156,85,429
157,85,429
158,85,429
159,85,429
160,85,429
161,85,429
162,85,429
163,85,429
164,85,429
165,85,429
166,85,429
167,85,429
168,85,429
169,85,429
170,85,429
171,85,429
172,85,429
173,85,429
174,85,429
175,85,429
176,85,429
177,85,429
178,85,429
179,85,429
180,85,429
181,85,429
182,85,429
183,85,429
184,85,429
185,85,429
186,85,429
187,85,429
188,85,429
189,85,429
190,85,430
191,85,430
192,85,430
193,85,430
194,85,430
195,85,430
196,85,430
197,85,430
198,85,430
199,85,430
200,85,430
201,85,430
202,85,430
203,85,430
204,85,454
205,85,454
206,85,454
207,85,454
208,85,454
209,85,454
210,85,454
211,85,454
212,85,454
213,85,454
214,85,454
215,85,454
216,85,454
217,85,454
218,85,454
219,85,454
220,85,454
221,85,454
222,85,454
223,85,454
224,85,454
225,85,454
226,85,454
227,85,454
228,85,454
229,85,454
230,85,454
231,85,454
232,85,454
233,85,454
234,85,454
235,85,454
236,85,454
237,85,431
238,85,431
239,85,431
240,85,431
241,85,431
242,85,432
243,85,432
244,85,432
245,85,432
246,85,432
247,85,432
248,85,432
249,85,432
250,85,432
251,85,434
252,85,434
253,85,434
254,85,434
255,85,434
256,85,436
257,85,436
258,85,436
259,85,436
260,85,436
261,85,436
262,85,436
263,85,436
264,85,436
265,85,436
266,85,436
267,85,436
268,85,436
269,85,436
270,85,436
271,85,436
272,85,436
273,85,436
274,85,436
275,85,436
276,85,436
277,85,436
278,85,436
279,85,436
280,85,436
281,85,436
282,85,436
283,85,436
284,85,436
285,85,436
286,85,436
287,85,436
288,85,436
289,85,436
290,85,436
291,85,436
292,85,436
293,85,436
294,85,438
295,85,438
296,85,438
297,85,438
298,85,438
299,85,438
300,85,438
301,85,439
302,85,439
303,85,439
304,85,439
305,85,439
306,85,439
307,85,439
308,85,439
309,85,439
310,85,439
311,85,439
312,85,439
313,85,439
314,85,439
315,85,439
316,85,439
317,85,439
318,85,439
319,85,439
320,85,439
321,85,439
322,85,439
323,85,439
324,85,439
325,85,439
326,85,439
327,85,439
328,85,439
329,85,439
330,85,439
331,85,439
332,85,439
333,85,439
334,85,439
335,85,440
336,85,440
337,85,440
338,85,440
339,85,440
340,85,440
341,85,440
342,85,440
343,85,440
344,85,440
345,85,440
346,85,440
347,85,440
348,85,440
349,85,440
350,85,440
351,85,440
352,85,440
353,85,440
354,85,440
355,85,440
356,85,440
357,85,440
358,85,440
359,85,440
360,85,440
361,85,440
362,85,440
363,85,440
364,85,440
365,85,440
366,85,440
367,85,440
368,85,440
369,85,440
370,85,440
371,85,440
372,85,440
373,85,440
374,85,440
375,85,440
376,85,440
377,85,440
378,85,440
379,85,442
380,85,442
381,85,442
382,85,442
383,85,442
384,85,442
385,85,442
386,85,442
387,85,442
388,85,442
389,85,442
390,85,442
391,85,442
392,85,442
393,85,442
394,85,442
395,85,442
396,85,442
397,85,442
398,85,442
399,85,442
400,85,443
401,85,443
402,85,443
403,85,443
404,85,443
405,85,443
406,85,443
407,85,444
408,85,444
409,85,444
410,85,444
411,85,444
412,85,446
413,85,446
414,85,446
415,85,446
416,85,446
417,85,446
418,85,446
419,85,446
420,85,446
421,85,446
422,85,446
423,85,446
424,85,446
425,85,446
426,85,446
427,85,446
428,85,447
429,85,447
430,85,447
431,85,449
432,85,449
433,85,449
434,85,449
435,85,449
436,85,451
437,85,451
438,85,451
439,85,451
440,85,451
441,85,451
442,85,451
443,85,451
444,85,452
445,85,452
446,85,452
447,85,452
448,85,452
449,85,452
450,85,452
451,85,452
452,85,452
453,85,452
454,85,452
455,85,452
456,85,452
457,85,452
458,85,452
459,85,452
460,85,452
461,85,452
462,85,452
463,85,452
464,85,452
465,85,452
466,85,452
467,85,452
468,85,452
469,85,452
470,85,452
471,85,452
472,85,452
473,85,452
474,85,452
475,85,452
476,85,452
477,85,452
478,85,452
479,85,452
480,85,452
481,85,452
482,85,452
483,85,452
484,85,452
485,85,452
486,85,452
487,85,452
488,85,452
489,85,452
490,85,452
491,85,452
492,85,452
493,85,452
494,85,452
495,85,452
496,85,452
497,85,452
498,85,452
499,85,452
500,85,452
501,85,452
502,85,452
503,85,452
504,85,452
505,85,452
506,85,452
507,85,452
508,85,452
509,85,452
510,85,452
511,85,452
512,85,452
513,85,452
514,85,452
515,85,452
516,85,452
517,85,452
518,85,452
519,85,452
520,85,452
521,85,452
522,85,452
523,85,452
524,85,452
525,85,452
526,85,452
527,85,452
528,85,452
529,85,452
530,85,452
531,85,452
532,85,452
533,85,452
534,85,452
535,85,452
536,85,452
537,85,452
538,85,452
539,85,452
540,85,453
541,85,453
542,85,453
543,85,453
544,85,453
545,85,453
546,85,453
547,85,453
548,85,453
549,85,453
550,85,453
551,85,453
552,85,453
553,85,453
554,85,453
555,85,453
556,85,453
557,85,453
558,85,453
559,85,453
560,85,453
561,85,453
562,85,453
563,85,453
564,85,453
565,85,453
566,85,453
567,85,453
568,85,453
569,85,453
570,85,453
571,85,453
572,85,453
573,85,453
574,85,453
575,85,453
576,85,453
577,85,453
578,85,453
579,85,453
580,85,453
581,85,453
